model,time_day,dataset,batching_type,batching_round_to_64,batch_size,computing_type,iteration,experiment_completed,submission_path,path,recompilation_counter,step_100000_train_rmse,step_100000_val_rmse,step_100000_test_rmse,step_100000_batching_time_mean,step_100000_update_time_mean,step_100000_batching_time_median,step_100000_update_time_median
painn,,qm9,static,False,128,cpu,3,nan,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/128/cpu/iteration_3/profiling_job.sh,,nan,,,,,,,
painn,00_33_35__07_04_2025,qm9,static,False,16,cpu,2,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_2/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_2/profiling_job.sh,3,nan,nan,nan,0.001341354649066925,0.1283593714427948,0.0012967586517333984,0.1312657594680786
painn,00_33_35__07_04_2025,qm9,static,False,16,cpu,1,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_1/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_1/profiling_job.sh,3,nan,nan,nan,0.0013734171795845031,0.1292192126584053,0.0013427734375,0.13215672969818115
painn,00_33_35__07_04_2025,qm9,static,False,16,cpu,5,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_5/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_5/profiling_job.sh,3,nan,nan,nan,0.0012503287720680236,0.1278843771982193,0.001224517822265625,0.13082599639892578
painn,00_33_35__07_04_2025,qm9,static,False,16,cpu,0,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_0/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_0/profiling_job.sh,3,nan,nan,nan,0.0013539793753623963,0.12961517502069472,0.0012941360473632812,0.13259172439575195
painn,00_33_35__07_04_2025,qm9,static,False,16,cpu,8,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_8/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_8/profiling_job.sh,3,nan,nan,nan,0.001323679358959198,0.1277288686347008,0.0012831687927246094,0.13065576553344727
painn,00_33_35__07_04_2025,qm9,static,False,16,cpu,9,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_9/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_9/profiling_job.sh,3,nan,nan,nan,0.001284366979598999,0.12773494434833527,0.0012531280517578125,0.13069486618041992
painn,00_33_35__07_04_2025,qm9,static,False,16,cpu,4,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_4/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_4/profiling_job.sh,3,nan,nan,nan,0.001170422854423523,0.129421810798645,0.0011382102966308594,0.13246917724609375
painn,00_33_35__07_04_2025,qm9,static,False,16,cpu,7,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_7/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_7/profiling_job.sh,3,nan,nan,nan,0.0012709880018234253,0.12804934532880782,0.001237630844116211,0.13094139099121094
painn,00_33_35__07_04_2025,qm9,static,False,16,cpu,6,True,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_6/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_100k_cpu_27_3_2025/profiling_experiments/painn/qm9/static/round_False/16/cpu/iteration_6/profiling_job.sh,3,nan,nan,nan,0.0013488068771362305,0.12766968618392943,0.001306772232055664,0.1306166648864746
